,User @,Comment Text,original_comment
635,cali66network,jokowiada salam bambang tripak,['pak jokowi....ada salam dari Pak Bambang tri...Pak😁']
636,callme_anand,setuju rata² orang jakarta wkwk dukung biar indonesia jawa mulu diperhatiin,"['gw yakin yang ga setuju rata² org jakarta wkwk', 'gw dukung biar Indonesia itu bukan Jawa mulu yang diperhatiin']"
637,callme_ur.mine,kota indonesia Indonesia,['jadi ibukota Indonesia: nusantara?']
638,calmhirup,tebal buku sejarah smp,['nambah tebel buku sejarah SMP']
639,calonakhirat2,ayah terbaik sehat presiden ir jokowi,['ayah terbaik sehat selalu bpk presiden ir jokowidodo']
640,calonmayat765,keren,['Keren']
641,can.idy,patapi semoga ongkos kirim shopee dimahalin yah,"['gapapa pa,tapi semoga ongkir shopee jangan dimahalin ya\U0001faf6🏻😭']"
642,candrawiranatawir,tul bangunan dki sarang burung walet,['tul bangunan tinggi di dki jdi in sarang burung walet sj😁']
643,cantik990,investor rakyat nya ganti target,"['kurang investor ,rakyat nya ganti yg jdi target berikutnya']"
644,caramelmaciato151,merindinggg wey akhirny kalimantan dilirik jugaaaa tolong kereta api kalimantan timur paaak,"['merindinggg wey🥺 akhirny klimntan dilirik jugaaaa, plis bikin kreta api di kltim paaak']"
645,cariapdisini_629,kalimantan paru paru dunia,['tapi kan kalimantan adalah paru paru dunia']
646,caricuan_17,sebentar jakarta tenggelem,['ntar kalok jakarta tenggelem . katanya tapi😂']
647,castinguncal,takutnya mancing perumahan elit,['Takutnya spot mancing jdi perumhan elit 🗿']
648,caturtaufik171,tolak keras,['tolak keras']
649,cecepcoerniawan,tenang 11 triliun tersedia dikantong,['tenang 11 triliun ada dikantong saya']
650,celoalkahfi,lanjutkan presidenkami sepenuh nya mendukung,"['lanjutkan BPK presiden,kami sepenuh nya mendukung']"
651,cepedeg,tai ah,['tai ah']
652,ceritapejalankaki,bangun sistem mindah kota nusantara perbaiki mental penyelenggara bangsa,['kalau mau bangun sistem baru bukan mindah ke ikn pak.. tapi perbaiki dulu mental seluruh penyelenggara bangsa ini..']
653,ch.tini,muda mengubah kota nusantara,['klo aku masih muda auto mau pindah ke ikn baru...']
654,chaesompal,pindahjakarta tenggelammslh dana tersedia memikirkan pikirin hidup aja,['pindah..jakarta akan tenggelam.mslh dana udah ada yg mikir jadi pikirin hidup masing2 ja']
655,changhono_168,pemerintah,['tapi negara baru wkwkwk']
656,channelbodol65,menolak kota nusantara demonstrasi demonstrasi jauuh,"['Yang menolak IKN mereka yang biasa demo, sekarang kalau Mau demo jauuh']"
